firstName,lastName,birthDate,startDate
Denis,Adam,2003-03-05,2014-03-04
Angel,Apostol,1997-08-16,2019-03-26
Florian,Fadrei,2000-10-12,2021-05-04
Ioana,Ilie,1995-05-02,2021-05-04
Cosmina,Lupu,1980-09-07,2020-06-06
Mihaita,Marcu,2002-05-23,2021-05-04
Alexia,Margarit,1994-10-23,2018-05-07
Daniela,Neagu,1992-06-12,2021-05-04
Florina,Popa,1944-03-05,2018-04-03
Adrian-Gabriel,Prodan,2000-11-30,2016-10-14
Ion,Radulescu,2001-12-29,2015-02-25
Randon zis,Random,2000-10-20,2021-05-04
Razvan,Sandu,2001-03-24,2021-05-04
Florenza,Sava,1992-07-03,2021-05-04
Andrei,Tudoran,1922-03-14,2015-02-02
Carmen,Ursu,2000-04-14,2021-05-04
